farm_id,fertilizer_kg_per_hectare,rainfall_mm,soil_ph,farm_size_hectares,years_farming_experience,crop_type,irrigation_type,region,yield_tons_per_hectare
F1000,296.4,735.3,6.83,12.6,19,Rice,Drip,Delta,7.69
F1121,250.4,995.2,5.43,35.9,19,Corn,Flood,Upper Egypt,6.31
F1108,45.7,616.9,6.58,21.7,26,Wheat,Flood,Upper Egypt,6.63
F1170,117.6,676.2,7.68,15,22,Wheat,Drip,Upper Egypt,10.66
F1265,71.2,1150.7,7.45,9.3,10,Wheat,Drip,Delta,10.3
F1004,44.8,890.3,6.65,7.9,27,Barley,Drip,Upper Egypt,8.97
F1309,61.7,708.2,7.39,29.2,19,Barley,Drip,Delta,9.65
F1057,220.4,397.7,5.57,13.8,34,Wheat,Drip,Sinai,6.81
F1274,261.9,622.9,7.2,10.6,20,Rice,Drip,Delta,9.1
F1059,52.4,846.7,6.65,15.1,2,Rice,Flood,Upper Egypt,8.09
F1311,164.2,877.5,5.12,14.1,0,Wheat,Drip,Delta,10.62
F1047,116.7,871.9,6.21,21.7,5,Barley,Drip,Delta,9.99
F1246,233.1,552.1,5.84,19.5,26,Corn,Sprinkler,Upper Egypt,7.54
F1046,153.4,,6.39,22.8,28,Barley,Drip,Upper Egypt,10.54
F1201,369.6,806.8,5.87,49.3,26,Wheat,Flood,Delta,0.2
F1120,226.1,677.1,6.22,5.1,11,Corn,Drip,Delta,9.86
F1030,285.6,809.5,5.53,20.9,29,Wheat,Sprinkler,Upper Egypt,3.54
F1189,107.1,897,6.7,7.5,15,Corn,Flood,Upper Egypt,9.34
F1158,279,,6.43,27.5,33,Corn,Flood,Delta,6.5
F1129,227.4,986.8,7.3,23.4,4,Wheat,Flood,Sinai,6.8
F1166,317,849.9,6.06,20.6,32,Corn,Flood,Sinai,2.57
F1056,179.8,474.6,5.05,16,2,Rice,Flood,Delta,9.7
F1250,251.2,1024.5,6.88,22,3,Corn,Sprinkler,Delta,8.83
F1218,353.2,715,6.66,19,13,Wheat,Sprinkler,Delta,0.2
F1234,355.2,823.5,6.49,39.2,12,Rice,Drip,Delta,0.2
F1322,131.5,664.1,5.97,52.6,0,Wheat,Drip,Upper Egypt,9.1
F1127,63.5,765.3,4.79,12,21,Rice,Drip,Delta,11.41
F1228,244.6,682.4,7.34,16.4,33,Wheat,Drip,Delta,7.49
F1296,372.4,613.7,6.3,12.5,18,Wheat,Flood,Upper Egypt,0.2
F1199,124.8,1070.1,5.19,23.3,15,Barley,Flood,Upper Egypt,9.7
F1042,269.1,935.8,6.98,17.8,23,Barley,Sprinkler,Delta,5.61
F1266,115.3,386.6,7.88,20.2,32,Corn,Drip,Upper Egypt,11.72
F1291,29.2,614.9,6.4,7.7,26,Rice,Flood,Delta,7.64
F1247,162.7,791.8,7.29,21.4,34,Barley,Flood,Upper Egypt,8.52
F1076,118.6,663.4,4.73,12.7,32,Corn,Drip,Delta,11.25
F1323,208.1,1156.5,7.18,15,1,Rice,Flood,Delta,9.59
F1267,66.8,468.2,6.68,9.9,15,Corn,Sprinkler,Sinai,9.19
F1007,300.8,757.2,7.15,19.3,8,Wheat,Flood,Sinai,1.27
F1073,96.6,710.5,7.3,17.1,22,Corn,Drip,Delta,11.1
F1050,84,309.2,7.02,25.7,4,Rice,Drip,Upper Egypt,9.57
F1276,127.7,611.9,7.48,4.9,33,Corn,Sprinkler,Delta,12.4
F1237,300.4,948,5.84,9.3,7,Barley,Drip,Upper Egypt,2.12
F1152,61.9,1321.5,5.37,20.3,29,Barley,Flood,Delta,7.87
F1032,130.6,717.5,6.22,7.4,2,Wheat,Flood,Sinai,7.27
F1015,94.1,765.8,7.53,11.1,22,Corn,Drip,Upper Egypt,11.27
F1289,47.6,907,5.96,20.9,14,Corn,Drip,Delta,10.62
F1094,121.6,565.8,6.97,8.5,27,Barley,Flood,Delta,8.41
F1107,3850,954.2,6.41,25,10,Corn,Sprinkler,Delta,11.92
F1331,84.9,1016.8,6.52,9.9,5,Corn,Sprinkler,Upper Egypt,10.47
F1210,266.9,,6.2,24.5,3,Wheat,Drip,Upper Egypt,6.4
F1220,121.4,,6.01,10.9,10,Wheat,Flood,Delta,7.99
F1147,202.6,886.2,5.83,24.6,15,Corn,Sprinkler,Delta,11.45
F1194,66.7,554.7,5.1,14.3,5,Rice,Drip,Upper Egypt,9.93
F1078,216.1,691.5,7.24,9,14,Wheat,Drip,Sinai,8.94
F1035,80.1,970,5.47,34.6,20,Wheat,Flood,Sinai,7.29
F1179,287,1282.5,8.7,32.9,16,Wheat,Flood,Upper Egypt,4.41
F1225,352.2,815.2,6.03,19.8,8,Barley,Flood,Delta,0.2
F1172,104.7,421.1,6.1,19.7,34,Corn,Drip,Upper Egypt,11.23
F1307,246.6,681.7,5.5,9.2,26,Wheat,Flood,Delta,6.46
F1017,33.6,1105.6,6.01,27.6,26,Wheat,Drip,Delta,8.94
F1087,180.9,687.3,8.01,23,27,Rice,Flood,Upper Egypt,9.47
F1156,114.1,877.8,4.5,11.1,1,Corn,Sprinkler,Delta,9.5
F1162,95.2,896.4,4.3,18.8,2,Barley,Flood,Delta,7.76
F1235,307.6,761.3,6.27,22.2,34,Rice,Drip,Sinai,5.4
F1272,29.8,359.5,7.18,17.4,32,Rice,Drip,Delta,8.85
F1305,181.2,660.8,6.6,37.2,7,Corn,Sprinkler,Upper Egypt,9.54
F1260,64.1,565.8,6.77,8.3,13,Wheat,Flood,Upper Egypt,7.41
F1325,251.5,1116.9,8.01,18.3,20,Barley,Sprinkler,Upper Egypt,6.63
F1286,28.2,848.2,5.35,11.9,20,Corn,Sprinkler,Delta,8.49
F1270,30.5,928.8,6.32,24.8,15,Wheat,Flood,Upper Egypt,6.05
F1117,276.2,674.6,6.41,11.3,19,Corn,Flood,Delta,5.56
F1208,55.1,890.2,4.64,8.6,34,Wheat,Flood,Upper Egypt,7.18
F1177,377.2,150,6.52,26,18,Wheat,Flood,Sinai,0.2
F1064,244.8,,6.45,16.4,25,Rice,Drip,Upper Egypt,9.42
F1010,147.2,818.6,6.78,16.4,11,Corn,Drip,Sinai,10.52
F1293,46.7,653.1,7.86,5.7,11,Barley,Flood,Delta,8.36
F1213,307.5,379,6.6,15.2,5,Wheat,Flood,Delta,1.64
F1111,84.9,606.1,6.45,7.3,24,Corn,Drip,Sinai,10.6
F1315,131.2,1201.6,6.61,14.9,6,Wheat,Flood,Sinai,9.26
F1298,298.4,632.6,5.17,16.8,15,Rice,Sprinkler,Delta,4.96
F1093,151,770.3,7.52,43.9,8,Corn,Drip,Sinai,11.97
F1321,187.9,786.2,6.13,24.6,2,Rice,Sprinkler,Upper Egypt,10.82
F1324,324,711.7,7.73,30.7,32,Wheat,Sprinkler,Upper Egypt,0.8
F1005,371,596.2,5.76,13.5,8,Corn,Flood,Delta,0.2
F1200,297.6,778.9,6.03,21.6,12,Wheat,Flood,Sinai,2.42
F1100,346.2,1128.6,5.9,19.1,22,Wheat,Drip,Delta,0.2
F1167,309.1,682.1,5.72,11.4,17,Corn,Drip,Upper Egypt,3.33
F1065,214.8,646.2,6.89,16,20,Corn,Drip,Upper Egypt,9.29
F1241,304.8,870.7,,7.6,8,Wheat,Flood,Upper Egypt,2.25
F1006,291.6,527,5.21,22.9,27,Wheat,Sprinkler,Delta,3.56
F1149,18,984,6.04,31.4,26,Corn,Drip,Upper Egypt,8.44
F1268,52.7,656.8,6.93,12.7,8,Corn,Drip,Upper Egypt,9.46
F1320,349,369.3,6.7,20.1,24,Wheat,Flood,Sinai,0.2
F1148,172.4,675.4,6.68,1.9,29,Barley,Drip,Delta,9.73
F1338,41.3,374.8,6.71,14.5,13,Wheat,Drip,Upper Egypt,7.86
F1288,203.8,467.8,7.63,9.9,14,Wheat,Sprinkler,Delta,7.89
F1252,177.9,830,4.71,18.2,11,Corn,Drip,Upper Egypt,11.3
F1185,254.8,771.9,7.22,35.2,16,Wheat,Drip,Delta,7.72
F1141,191.6,993.3,6.11,12.1,14,Wheat,Drip,Sinai,9.3
F1132,225,744.3,6.44,19.9,21,Wheat,Sprinkler,Upper Egypt,7.04
F1118,169.9,425.1,6.62,16.7,8,Rice,Drip,Sinai,11.81
F1244,234.2,735,6.76,7,22,Rice,Drip,Delta,10.37
F1119,242.1,984.8,6.44,4,10,Corn,Flood,Delta,7.8
F1326,307.6,507.2,7.58,18.9,28,Rice,Flood,Delta,3.27
F1038,94,1075.9,5.52,12.3,9,Wheat,Sprinkler,Upper Egypt,8.49
F1084,18.4,236.6,6.13,17.5,2,Wheat,Sprinkler,Delta,5.56
F1224,116,872.4,5.9,16.9,5,Barley,Flood,Upper Egypt,7.51
F1019,243.7,620,7.11,9,18,Rice,Flood,Delta,8.34
F1072,325.8,595,4.38,11.1,10,Barley,Drip,Upper Egypt,0.2
F1075,114.1,930.5,5.48,5.7,18,Wheat,Drip,Delta,10.49
F1264,350.8,804.8,6.8,13.8,7,Corn,Drip,Upper Egypt,0.2
F1040,171.7,569.1,6.9,13.4,5,Wheat,Drip,Delta,9.7
F1290,318.4,803.2,8.42,18.5,23,Wheat,Drip,Upper Egypt,2.05
F1110,178.6,514.7,6.76,22.2,15,Corn,Sprinkler,Delta,10.02
F1310,186.8,505.1,6.03,27.6,6,Barley,Flood,Upper Egypt,6.94
F1048,262.5,1262.1,5.31,23.9,10,Corn,Flood,Delta,8.14
F1018,316.2,296.1,5.97,17,32,Corn,Sprinkler,Upper Egypt,2.47
F1043,125.6,752.5,6.39,31.3,32,Wheat,Flood,Delta,9.65
F1273,228.7,863.4,6.59,7.2,31,Barley,Flood,Upper Egypt,7.23
F1090,66.4,1042.1,7.17,14.7,14,Rice,Flood,Upper Egypt,8.44
F1275,155.6,1030.4,6.84,17.6,27,Wheat,Flood,Delta,9.75
F1160,49.9,844.7,6.29,-5,18,Wheat,Drip,Delta,8.6
F1114,75.4,822.3,6.33,22.3,3,Wheat,Flood,Delta,8.01
F1068,21.4,780.4,6.54,23.8,1,Corn,Drip,Delta,9.24
F1215,283.4,804.5,5.4,29.7,21,Wheat,Flood,Upper Egypt,2.88
F1131,352.3,823.3,7.32,34.8,24,Rice,Flood,Upper Egypt,0.2
F1001,172.4,492.2,5.93,20,18,Barley,Drip,Delta,8.65
F1187,45,924,6.65,14.4,33,Wheat,Sprinkler,Delta,8.96
F1227,215.4,730.8,6.12,20.9,31,Corn,Drip,Upper Egypt,10.78
F1178,339.9,630.4,6.73,20,23,Corn,Drip,Delta,0.95
F1181,340.6,626.9,5.76,25.6,32,Corn,Sprinkler,Sinai,0.2
F1133,138.3,819.1,5.64,16.2,23,Rice,Drip,Upper Egypt,11.66
F1223,363.6,834.7,5.65,14.9,26,Rice,Sprinkler,Sinai,0.2
F1248,148.4,429.9,7.44,15.6,0,Wheat,Flood,Upper Egypt,8.65
F1283,102.3,522.5,4.85,10.1,19,Corn,Flood,Delta,9.58
F1168,127.3,955.8,5.6,51,33,Barley,Drip,Sinai,10.22
F1263,63.2,481.1,6.41,15,29,Wheat,Flood,Delta,7.38
F1142,357,538.3,6.6,2.9,15,Barley,Flood,Delta,0.2
F1245,331.1,807.6,6.9,10.6,20,Rice,Sprinkler,Upper Egypt,1.51
F1300,298.2,1049.8,5.73,4.1,18,Wheat,Drip,Delta,4.45
F1027,26.2,985.1,5.66,34.9,7,Wheat,Drip,Delta,7.36
F1138,299.6,649.1,7.39,18.6,26,Corn,Sprinkler,Upper Egypt,4.73
F1089,195.4,989.6,5.57,19.9,9,Wheat,Drip,Upper Egypt,9.31
F1023,340.5,831,6.68,53.9,15,Corn,Flood,Upper Egypt,1.02
F1096,143.9,424.3,6.97,11.7,24,Wheat,Flood,Delta,9.56
F1079,300,724.1,,40.9,15,Rice,Drip,Delta,6.04
F1327,207.1,879.2,,15.1,0,Barley,Flood,Delta,6.59
F1192,55.4,1108.4,,21,14,Rice,Sprinkler,Delta,10.35
F1242,96.1,791.4,5.43,7.4,23, rice ,Sprinkler,Delta,11.22
F1171,200.6,312,8.05,22.2,21,Wheat,Sprinkler,Upper Egypt,8.59
F1067,122.5,904.4,6.65,11.2,27,Wheat,Drip,Sinai,9.97
F1145,108.8,687.4,6.63,8.3,7,Rice,Drip,Delta,12.28
F1114,75.4,822.3,6.33,22.3,3,Wheat,Flood,Delta,8.01
F1081,160.4,311.5,6.07,3.6,12,Wheat,Flood,Delta,7.75
F1231,165.1,476.2,6.83,29.7,26,Rice,Sprinkler,Sinai,11.45
F1037,186,722.5,7.34,16.6,4,Barley,Drip,Delta,9.33
F1140,190.1,1176.2,5.28,25.5,1,Wheat,Flood,Delta,7.67
F1034,183.7,,6.18,18.3,33,Corn,Drip,Delta,11.93
F1125,192.8,1179.2,,11.7,21,Corn,Drip,Delta,12.51
F1236,182.9,581.6,7.83,19.5,28,Wheat,Sprinkler,Sinai,9.01
F1301,59.8,521.1,7.23,9.6,29,Wheat,Drip,Delta,8.78
F1253,101.7,219.8,6.11,32.6,22,Wheat,Flood,Delta,7.36
F1176,171,419.4,6.32,26.8,14,Rice,Sprinkler,Delta,10.67
F1092,175.1,,6.8,24.5,26,Rice,Drip,Upper Egypt,12.2
F1109,344,632.5,5.42,11,7,Wheat,Flood,Delta,0.2
F1280,26.1,848.6,4.3,28.3,22,Wheat,Sprinkler,Sinai,6.06
F1071,161.2,866.6,4.94,27.4,30,Wheat,Sprinkler,Delta,9.21
F1161,348.9,562.7,7.49,7.6,17,Corn,Sprinkler,Delta,0.2
F1332,267.1,678.8,7.14,5.3,18,Wheat,Drip,Sinai,5.93
F1269,17.8,635.5,5.36,10.6,34,Rice,Drip,Delta,8.86
F1337,278.5,732.1,6.4,11.3,15,Wheat,Flood,Upper Egypt,3.6
F1091,267.6,734.8,6.98,28,5,Corn,Drip,Delta,6.41
F1080,255.8,932.5,6.86,12.7,24,Barley,Flood,Upper Egypt,5.23
F1191,99.2,947.5,4.66,35.3,6,Wheat,Sprinkler,Delta,9.08
